,generated_caption
0,a wolf and a bear in the snow
1,a military plane and fighter jets
2,a boy riding a bike in a neighborhood
3,various keys and keychains
4,a group of people on the beach
5,a redhead woman with red hair
6,a woman cleaning the street
7,a kitchen pantry with wooden shelves and shelves
8,a rock with a red sign that says ` ` ` `
9,a skeleton holding a hourglass
10,three lions at a water hole
11,two children playing in a stream in the jungle
12,many dogs
13,a gondover in venice
14,a diver in the great barrier reef
15,a pile of almonds
16,a collection of green skin care products
17,a father and two children reading a book
18,a movie theater
19,a staircase with books on the steps
20,a group of people working in a science lab
21,a group of people in a crowd
22,a man in a cemetery
23,a scientist working in a laboratory
24,a planter
25,a woman holding a thermometer
26,a woman writing in a home office
27,a japanese woman receiving a foot massage
28,a person holding a box of reward money
29,a redhead woman with red hair and green eyes
30,a book on a table
31,a green gate in a garden
32,a woman with acidid skin
33,a door with a keyhole
34,the band of the banjo brothers by john williams
35,a man working on a laptop in a room
36,a patriotic star burst
37,a woman using a lip balknotl
38,a group of cock bugs
39,an osm and an emu in a field
40,a lizard
41,a mermaid with a fish and a castle in the background
42,two hot dogs on a wooden plate with mustard mustard sauce
43,a green diamond
44,a tree in the forest
45,a courtroom scene
46,a woman in a bathroom
47,a mummy mummy mummy mummy mummy mummy mummy mummy mummy mummy mummy mummy mummy mummy mummy
48,snowflakes on a black background
49,elephants in the wild
50,a beekeeper working on a honeycomb
51,a meeting room
52,two men in a lab
53,a pair of wren wrens
54,a group of baby ducks
55,a woman holding a camera
56,a man riding a bull
57,a person pouring a cocktail into a glass
58,a small armadia
59,a man holding a bottle of sunscreen
60,a joker face with a red and blue clown makeup
61,a person walking along a river
62,a wedding table setting
63,a pink castle in a forest
64,chocolate brownies
65,a woman holding a cup of coffee
66,a house and windmill
67,a cheese on a wooden cutting board
68,old books
69,a man speaking into a megaphone
70,a hot air balloon in the sky
71,the crowd at the dedication of the 11th anniversary of the united states
72,a box of fresh vegetables
73,a man standing in front of a camper
74,a dragon
75,a hand holding a yellow mayonnal
76,a man in his underwear
77,a couple dancing in a ballroom
78,candy candys
79,a medieval battle
80,a baby in a high chair
81,a gold brooch
82,a woman with blue eye makeup
83,two skoos in a tree
84,two birds in a cage
85,a snowman in a cup of coffee
86,a person writing on a piece of paper
87,a cute puppy dog looking out of a wooden dog house
88,a woman holding a bird in her hand
89,tools and tools used by a carpenter
