,Unnamed: 0,generated_caption,verbs_small_model,verbs_medium_model,verbs_large_model,is_same
0,0,a wolf and a bear in the snow,[],[],[],True
1,1,a military plane and fighter jets,[],[],[],True
2,2,a boy riding a bike in a neighborhood,['ride'],['ride'],['ride'],True
3,3,various keys and keychains,[],[],[],True
4,4,a group of people on the beach,[],[],[],True
5,5,a redhead woman with red hair,[],[],[],True
6,6,a woman cleaning the street,['clean'],['clean'],['clean'],True
7,7,a kitchen pantry with wooden shelves and shelves,[],[],[],True
8,8,a rock with a red sign that says ` ` ` `,['say'],['say'],['say'],True
9,9,a skeleton holding a hourglass,['hold'],['hold'],['hold'],True
10,10,three lions at a water hole,[],[],[],True
11,11,two children playing in a stream in the jungle,['play'],['play'],['play'],True
12,12,many dogs,[],[],[],True
13,13,a gondover in venice,[],[],[],True
14,14,a diver in the great barrier reef,[],[],[],True
15,15,a pile of almonds,[],[],[],True
16,16,a collection of green skin care products,[],[],[],True
17,17,a father and two children reading a book,['read'],['read'],['read'],True
18,18,a movie theater,[],[],[],True
19,19,a staircase with books on the steps,[],[],[],True
20,20,a group of people working in a science lab,['work'],['work'],['work'],True
21,21,a group of people in a crowd,[],[],[],True
22,22,a man in a cemetery,[],[],[],True
23,23,a scientist working in a laboratory,['work'],['work'],['work'],True
24,24,a planter,[],[],[],True
25,25,a woman holding a thermometer,['hold'],['hold'],['hold'],True
26,26,a woman writing in a home office,['write'],['write'],['write'],True
27,27,a japanese woman receiving a foot massage,['receive'],['receive'],['receive'],True
28,28,a person holding a box of reward money,['hold'],['hold'],['hold'],True
29,29,a redhead woman with red hair and green eyes,[],[],[],True
30,30,a book on a table,[],[],[],True
31,31,a green gate in a garden,[],[],[],True
32,32,a woman with acidid skin,[],[],[],True
33,33,a door with a keyhole,[],[],[],True
34,34,the band of the banjo brothers by john williams,[],[],[],True
35,35,a man working on a laptop in a room,['work'],['work'],['work'],True
36,36,a patriotic star burst,[],['burst'],[],False
37,37,a woman using a lip balknotl,['use'],['use'],['use'],True
38,38,a group of cock bugs,[],[],[],True
39,39,an osm and an emu in a field,[],[],[],True
40,40,a lizard,[],[],[],True
41,41,a mermaid with a fish and a castle in the background,[],[],[],True
42,42,two hot dogs on a wooden plate with mustard mustard sauce,[],[],[],True
43,43,a green diamond,[],[],[],True
44,44,a tree in the forest,[],[],[],True
45,45,a courtroom scene,[],[],[],True
46,46,a woman in a bathroom,[],[],[],True
47,47,a mummy mummy mummy mummy mummy mummy mummy mummy mummy mummy mummy mummy mummy mummy mummy,[],[],[],True
48,48,snowflakes on a black background,[],[],[],True
49,49,elephants in the wild,[],[],[],True
50,50,a beekeeper working on a honeycomb,['work'],['work'],['work'],True
51,51,a meeting room,[],[],[],True
52,52,two men in a lab,[],[],[],True
53,53,a pair of wren wrens,[],[],[],True
54,54,a group of baby ducks,[],[],[],True
55,55,a woman holding a camera,['hold'],['hold'],['hold'],True
56,56,a man riding a bull,['ride'],['ride'],['ride'],True
57,57,a person pouring a cocktail into a glass,['pour'],['pour'],['pour'],True
58,58,a small armadia,[],[],[],True
59,59,a man holding a bottle of sunscreen,['hold'],['hold'],['hold'],True
60,60,a joker face with a red and blue clown makeup,['face'],[],[],False
61,61,a person walking along a river,['walk'],['walk'],['walk'],True
62,62,a wedding table setting,['set'],['set'],['set'],True
63,63,a pink castle in a forest,[],[],[],True
64,64,chocolate brownies,[],[],[],True
65,65,a woman holding a cup of coffee,['hold'],['hold'],['hold'],True
66,66,a house and windmill,[],[],[],True
67,67,a cheese on a wooden cutting board,[],[],[],True
68,68,old books,[],[],[],True
69,69,a man speaking into a megaphone,['speak'],['speak'],['speak'],True
70,70,a hot air balloon in the sky,[],[],[],True
71,71,the crowd at the dedication of the 11th anniversary of the united states,[],[],[],True
72,72,a box of fresh vegetables,[],[],[],True
73,73,a man standing in front of a camper,['stand'],['stand'],['stand'],True
74,74,a dragon,[],[],[],True
75,75,a hand holding a yellow mayonnal,['hold'],['hold'],['hold'],True
76,76,a man in his underwear,[],[],[],True
77,77,a couple dancing in a ballroom,['dance'],['dance'],['dance'],True
78,78,candy candys,[],[],[],True
79,79,a medieval battle,[],[],[],True
80,80,a baby in a high chair,[],[],[],True
81,81,a gold brooch,[],[],[],True
82,82,a woman with blue eye makeup,[],[],[],True
83,83,two skoos in a tree,[],[],[],True
84,84,two birds in a cage,[],[],[],True
85,85,a snowman in a cup of coffee,[],[],[],True
86,86,a person writing on a piece of paper,['write'],['write'],['write'],True
87,87,a cute puppy dog looking out of a wooden dog house,['look'],['look'],['look'],True
88,88,a woman holding a bird in her hand,['hold'],['hold'],['hold'],True
89,89,tools and tools used by a carpenter,['use'],['use'],['use'],True
90,90,a young man with dread dreads,['dread'],[],['dread'],False
91,91,a chamel chamel chamel chamel chamel chamel chamel cha,[],[],[],True
92,92,a car and a colorful car,[],[],[],True
93,93,a couple dressed as clowns,['dress'],['dress'],['dress'],True
94,94,a cook in the kitchen,[],[],[],True
95,95,a fire in a building,[],[],[],True
96,96,a dragon character i created for a game,['create'],['create'],['create'],True
97,97,a slice of pumpkin cake with a scoop of vanilla ice cream on top,[],[],[],True
98,98,a man carrying a bag of food down a flight of stairs,['carry'],['carry'],['carry'],True
