,generated_caption,cap,verbs,objs,n_objs
0,A dog barks at a squirrel climbing a tree.,A dog barks at a squirrel climbing a tree.,"{'climb', 'bark'}","{'climb', 'bark'}",2
1,Three children jump into a leaf pile in autumn.,Three children jump into a leaf pile in autumn.,{'jump'},{'jump'},1
2,A chef tosses vegetables in a flaming wok.,A chef tosses vegetables in a flaming wok.,"{'flame', 'toss'}","{'flame', 'toss'}",2
3,A painter paints a mural on a city wall.,A painter paints a mural on a city wall.,{'paint'},{'paint'},1
4,A fisherman casts his line at sunrise.,A fisherman casts his line at sunrise.,{'cast'},{'cast'},1
5,A ballerina rehearses alone in a sunlit studio.,A ballerina rehearses alone in a sunlit studio.,{'rehearse'},{'rehearse'},1
6,A gardener waters a bed of colorful tulips.,A gardener waters a bed of colorful tulips.,{'water'},{'water'},1
7,A hiker reaches the summit of a mountain.,A hiker reaches the summit of a mountain.,{'reach'},{'reach'},1
8,A photographer captures a butterfly on a flower.,A photographer captures a butterfly on a flower.,{'capture'},{'capture'},1
9,A baker kneads dough in a rustic kitchen.,A baker kneads dough in a rustic kitchen.,{'knead'},{'knead'},1
10,A couple kayaks on a calm lake.,A couple kayaks on a calm lake.,{'kayak'},{'kayak'},1
11,A teacher reads a story to a group of preschoolers.,A teacher reads a story to a group of preschoolers.,{'read'},{'read'},1
12,A mechanic repairs an old car in a garage.,A mechanic repairs an old car in a garage.,{'repair'},{'repair'},1
13,A surfer rides a large wave.,A surfer rides a large wave.,{'ride'},{'ride'},1
14,A violinist plays in a busy subway station.,A violinist plays in a busy subway station.,{'play'},{'play'},1
15,A skateboarder performs a trick in a skate park.,A skateboarder performs a trick in a skate park.,{'perform'},{'perform'},1
16,A mother tucks her child into bed.,A mother tucks her child into bed.,{'tuck'},{'tuck'},1
17,A scientist looks through a microscope.,A scientist looks through a microscope.,{'look'},{'look'},1
18,A blacksmith forges a piece of metal.,A blacksmith forges a piece of metal.,{'forge'},{'forge'},1
19,A jogger runs along a misty river path.,A jogger runs along a misty river path.,{'run'},{'run'},1
20,A potter shapes clay on a spinning wheel.,A potter shapes clay on a spinning wheel.,"{'spin', 'shape'}","{'spin', 'shape'}",2
21,A group of teens plays basketball at dusk.,A group of teens plays basketball at dusk.,{'play'},{'play'},1
